style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,103070,OP  ,OP,,,0,0,0,,,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
103070-2707,103070,OP,OP,,,0,0,0,,,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
103070-4100,103070,OP,16H1,1/6/2025,43878,739,752,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
103070-6000,103070,OP  ,19S1,6/16/2022,43966,799,792,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104932-1001,104932,FP,20H2,9/27/2024,44176,41,135,0,YES,,119,119,40% OFF,REG,,STORE CORE HOLD,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104932-1501,104932,FP,21M3,10/4/2024,44375,206,206,600,YES,LIVE,119,119,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104932-2504,104932,FP,21M3,11/16/2021,44373,195,194,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104932-4000,104932,FP,20H2,7/2/2021,,0,0,0,,,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104932-4950,104932,FP,23F2,8/1/2023,45152,32,32,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104932-6003,104932,FP,20H2,9/30/2024,44172,51,51,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
104979-4926,104979,OP,20H3,,,0,0,0,,,119,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105106-1800,105106,OP,21M2,5/4/2022,44327,3,0,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105486-1001,105486,FP,21M3,7/22/2024,44392,-1,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105486-2721,105486,FP,22F2,,,0,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105486-4100,105486,FP,21M3,7/7/2023,,0,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105486-6059,105486,FP,21M3,7/7/2023,44384,1,0,0,,,99,84.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105616-1001,105616,FP,21H1,10/21/2021,,0,0,0,,,119,79.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-1001,105622,OP,21F2,7/25/2024,44414,540,530,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-1501,105622,OP,21F1,7/29/2024,44496,-1,1,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-1537,105622,OP,24F2,7/29/2024,45534,347,353,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-2416,105622,OP,24F1,7/25/2024,45552,1,275,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-3539,105622,OP,24F2,7/29/2024,45539,1,284,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-4000,105622,OP,21F1,7/29/2024,44482,557,897,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-6059,105622,OP,21F1,,,0,0,0,,,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105622-8106,105622,OP,24F1,7/25/2024,45538,3,355,0,YES,LIVE,99,99,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1001,105755,FP,21H2,1/20/2025,44518,929,1516,653,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1105,105755,FP,22H1,10/2/2024,44889,522,523,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1210,105755,FP,22F1,10/2/2024,44747,388,390,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1600,105755,FP,22H1,11/7/2023,44854,172,208,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1700,105755,FP,22S1,,,0,7,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1702,105755,FP,22H1,11/2/2022,44890,574,563,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-1866,105755,FP,22F1,3/4/2024,44750,570,574,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-2504,105755,FP,21H2,9/5/2024,44518,475,481,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-2701,105755,FP,23H1,9/22/2023,45198,58,60,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-3052,105755,FP,22H1,11/2/2022,44890,303,306,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-4189,105755,FP,22S1,3/4/2024,44557,174,178,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-4262,105755,FP,24M1,3/27/2024,45367,107,110,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-4400,105755,FP,23H1,9/22/2023,45208,88,89,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-4816,105755,FP,23S1,8/9/2023,44933,46,47,0,YES,LIVE,139,119.97,60% OFF,SALE,COLOR MD,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-4903,105755,FP,24F3,10/2/2024,45567,160,161,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105755-6000,105755,FP,21H2,8/9/2023,44518,815,822,0,YES,LIVE,139,139,40% OFF,REG,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105797-1700,105797,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
105797-4609,105797,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106303-1001,106303,FP,22F1,12/5/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106303-1702,106303,FP,21F1,11/15/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106303-3005,106303,FP,22F1,8/1/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106306-3124,106306,FP,22F1,,,0,0,0,,,149,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106342-1001,106342,FP,22F3,,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106342-4400,106342,FP,22F3,8/25/2022,,0,0,0,,,109,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106539-3410,106539,FP,22H1,3/6/2024,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106539-7474,106539,FP,23F2,8/18/2023,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106543-1001,106543,FP,22H1,3/4/2024,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106543-1702,106543,FP,22H1,,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106543-2701,106543,FP,22H1,10/4/2022,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106592-1001,106592,FP,22H3,,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106592-7451,106592,FP,22H3,12/1/2022,,0,0,0,YES,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
106883-1001,106883,FP,23S2,,,0,0,0,,,89,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107136-1001,107136,FP,23S1,1/20/2023,,0,0,0,YES,,99,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107137-1001,107137,FP,23M1,7/5/2023,,0,0,0,,,89,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107137-1501,107137,FP,23M1,6/2/2023,45086,1,0,0,YES,,89,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107284-4848,107284,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107284-7027,107284,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107288-1001,107288,OP,23F2,9/6/2024,45133,5,0,0,YES,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107288-3002,107288,OP,23F2,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107288-4189,107288,OP,23F2,7/22/2023,45168,-1,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107288-7014,107288,OP,23F2,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107323-4442,107323,FP,23M3,7/10/2023,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107325-1001,107325,FP,23M2,,,0,0,0,,,89,59.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107325-1700,107325,FP,23M2,,,0,0,0,YES,,89,59.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107400-1232,107400,FP,23F1,7/13/2023,45124,-1,0,0,,,139,119.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107400-2063,107400,FP,23F1,3/13/2024,,0,0,0,,,139,119.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107404-1001,107404,FP,23F2,7/25/2023,,0,0,0,YES,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107404-1702,107404,FP,23F2,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107462-1001,107462,FP,23F3,8/23/2023,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107462-8018,107462,FP,23F3,8/26/2023,,0,0,0,,,119,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107567-1001,107567,FP,23H2,11/13/2023,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107567-2046,107567,FP,23H2,11/13/2023,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107577-1001,107577,FP,23H1,3/12/2024,45225,1,0,0,YES,,149,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107577-4400,107577,FP,23H1,10/25/2023,,0,0,0,,,149,74.97,60% OFF,SALE,,,           ,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107577-6010,107577,FP,23H1,10/21/2023,,0,0,0,,,149,74.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107585-1001,107585,FP,23H3,12/12/2023,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107585-1700,107585,FP,23H3,,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107585-3922,107585,FP,23H3,12/12/2023,,0,0,0,,,119,99.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107611-1001,107611,FP,23H2,11/15/2023,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107611-1702,107611,FP,23H2,11/16/2023,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107611-3000,107611,FP,23H2,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107629-1001,107629,FP,23H1,10/4/2023,,0,0,0,YES,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107629-1700,107629,FP,23H1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107629-6062,107629,FP,23H1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107682-1001,107682,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107682-1501,107682,OP,23F1,,,0,0,0,YES,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107682-6000,107682,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107722-1501,107722,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107722-3002,107722,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107722-4189,107722,OP,23F1,6/4/2024,,0,1,0,YES,LIVE,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107722-6000,107722,OP,23F1,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107745-1001,107745,FP,23H2,11/2/2023,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107745-2603,107745,FP,23H2,11/2/2023,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107834-1001,107834,OP,23H1,9/3/2024,45253,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107834-1501,107834,OP,23H1,,,0,0,0,,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107834-3444,107834,OP,23H1,9/23/2023,45253,1,0,0,YES,,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107834-6000,107834,OP,23H1,9/4/2024,45253,14,8,0,YES,LIVE,109,69.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
107835-1001,107835,OP,23H3,,,0,0,0,,,109,94.97,60% OFF,SALE,,,,One Site Pricing 2.6.25.xlsx,Pricing,45728.34355,45728.35675
