style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
105106-1800,105106,OP,21M2,5/4/2022,44327,3,0,0,YES,,89,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105486-1001,105486,FP,21M3,7/22/2024,44392,-1,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105486-2721,105486,FP,22F2,,,0,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105486-4100,105486,FP,21M3,7/7/2023,,0,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105486-6059,105486,FP,21M3,7/7/2023,44384,1,0,0,,,99,84.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105616-1001,105616,FP,21H1,10/21/2021,,0,0,0,,,119,79.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105797-1700,105797,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,14.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
105797-4609,105797,FP,22M3,6/9/2022,,0,0,0,,,89,49.97,14.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106303-1001,106303,FP,22F1,12/5/2022,,0,0,0,,,109,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106303-1702,106303,FP,21F1,11/15/2022,,0,0,0,,,109,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106303-3005,106303,FP,22F1,8/1/2022,,0,0,0,,,109,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106306-3124,106306,FP,22F1,,,0,0,0,,,149,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106342-1001,106342,FP,22F3,,,0,0,0,,,109,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106342-4400,106342,FP,22F3,8/25/2022,,0,0,0,,,109,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106539-3410,106539,FP,22H1,3/6/2024,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106539-7474,106539,FP,23F2,8/18/2023,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106543-1001,106543,FP,22H1,3/4/2024,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106543-1702,106543,FP,22H1,,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106543-2701,106543,FP,22H1,10/4/2022,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106592-1001,106592,FP,22H3,,,0,0,0,,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106592-7451,106592,FP,22H3,12/1/2022,,0,0,0,YES,,109,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
106883-1001,106883,FP,23S2,,,0,0,0,,,89,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107136-1001,107136,FP,23S1,1/20/2023,44940,1,0,0,YES,,99,69.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107137-1001,107137,FP,23M1,7/5/2023,,0,0,0,,,89,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107137-1501,107137,FP,23M1,6/2/2023,45086,1,0,0,YES,,89,74.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107288-1001,107288,OP,23F2,9/6/2024,45133,1,0,0,YES,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107288-3002,107288,OP,23F2,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107288-4189,107288,OP,23F2,7/22/2023,45168,-1,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107288-7014,107288,OP,23F2,,,0,0,0,,,109,94.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107325-1001,107325,FP,23M2,,,0,0,0,,,89,59.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107325-1700,107325,FP,23M2,,,0,0,0,YES,,89,59.97,19.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107462-1001,107462,FP,23F3,8/23/2023,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107462-8018,107462,FP,23F3,8/26/2023,,0,0,0,,,119,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
107577-1001,107577,FP,23H1,3/12/2024,45225,1,0,0,YES,,149,74.97,29.99,SALE,FLASH,,,Mystery Flash Sale 2.24.25.xlsx,Flash Pricing TY,45728.3433,45728.3555
